target,model,feature,importance
p,SVM,B11,-0.002105263157894749
p,SVM,B12,0.008421052631578935
p,SVM,B01_std,-0.003157894736842126
p,SVM,B02_std,-1.1102230246251566e-17
p,SVM,B03_std,0.009473684210526311
p,SVM,B04_std,0.0063157894736841965
p,SVM,B05_std,-1.1102230246251566e-17
p,SVM,B06_std,-0.0010526315789473773
p,SVM,B07_std,0.009473684210526311
p,SVM,B08_std,0.00842105263157894
p,SVM,B8A_std,0.010526315789473667
p,SVM,B09_std,-0.0010526315789473827
p,SVM,B11_std,0.003157894736842093
p,SVM,B12_std,0.01263157894736841
p,SVM,temperature_c,0.03157894736842104
p,SVM,humidity_percent,0.033684210526315775
p,SVM,altitude_m,-0.004210526315789487
p,SVM,elevation_m,0.0
p,SVM,slope_deg,-0.0010526315789473773
p,SVM,aspect_deg,-0.01789473684210529
p,SVM,twi,-0.0010526315789473773
p,SVM,curvature,-0.010526315789473717
p,SVM,northness,0.031578947368421054
p,SVM,eastness,-0.012631578947368433
p,SVM,sg_phh2o_0-5cm,0.00421052631578947
p,SVM,sg_phh2o_5-15cm,0.011578947368421045
p,SVM,sg_soc_0-5cm,-0.007368421052631607
p,SVM,sg_soc_5-15cm,-0.007368421052631607
p,SVM,sg_nitrogen_0-5cm,-0.004210526315789487
p,SVM,sg_nitrogen_5-15cm,0.0
p,SVM,sg_clay_0-5cm,0.013684210526315781
p,SVM,sg_clay_5-15cm,-0.008421052631578968
p,SVM,sg_sand_0-5cm,0.0063157894736841965
p,SVM,sg_sand_5-15cm,0.014736842105263154
p,SVM,sg_cec_0-5cm,-0.011578947368421072
p,SVM,sg_cec_5-15cm,0.0231578947368421
p,SVM,NDVI,0.004210526315789454
p,SVM,EVI,0.015789473684210527
p,SVM,SAVI,0.004210526315789454
p,SVM,MSAVI,0.002105263157894721
p,SVM,NDRE,0.013684210526315776
p,SVM,CHL_re,0.021052631578947368
p,SVM,BSI,-0.008421052631578973
p,SVM,BI,-1.6653345369377347e-17
p,SVM,NDWI,-0.0021052631578947546
p,SVM,NDMI,-0.009473684210526346
p,SVM,crops_broccoli,0.0
p,SVM,crops_cabbage,0.00842105263157893
p,SVM,"crops_cabbage,custom_chinese",0.0
p,SVM,"crops_cabbage,custom_chinese_cabbage",-0.008421052631578978
p,SVM,crops_carrot,-0.00631578947368423
p,SVM,crops_corn,0.0
p,SVM,crops_lettuce,-0.007368421052631607
p,SVM,"crops_lettuce,custom_chinese",0.0
p,SVM,"crops_lettuce,custom_follow_through",0.0
p,SVM,"crops_lettuce,custom_iceberg",0.0
p,SVM,"crops_lettuce,custom_iceberg_lettuce",0.0
p,SVM,crops_potato,0.01578947368421052
p,SVM,crops_radish,0.0052631578947368255
p,SVM,crops_tomato,0.0
p,FCNN,B01,-0.006315789473684208
p,FCNN,B02,-0.0010526315789473773
p,FCNN,B03,-0.016842105263157898
p,FCNN,B04,-0.010526315789473679
p,FCNN,B05,-0.005263157894736847
p,FCNN,B06,-0.0021052631578947377
p,FCNN,B07,0.04210526315789474
p,FCNN,B08,-0.01578947368421053
p,FCNN,B8A,0.0063157894736841965
p,FCNN,B09,-0.02947368421052631
p,FCNN,B11,0.023157894736842106
p,FCNN,B12,0.02631578947368421
p,FCNN,B01_std,0.010526315789473679
p,FCNN,B02_std,-0.03263157894736843
p,FCNN,B03_std,-0.003157894736842104
p,FCNN,B04_std,0.01157894736842106
p,FCNN,B05_std,0.021052631578947368
p,FCNN,B06_std,0.0010526315789473716
p,FCNN,B07_std,0.03368421052631578
p,FCNN,B08_std,0.0021052631578947325
p,FCNN,B8A_std,0.008421052631578945
p,FCNN,B09_std,0.039999999999999994
p,FCNN,B11_std,0.014736842105263165
p,FCNN,B12_std,0.0
p,FCNN,temperature_c,-0.006315789473684224
p,FCNN,humidity_percent,0.042105263157894736
p,FCNN,altitude_m,-0.030526315789473686
p,FCNN,elevation_m,0.0073684210526315744
p,FCNN,slope_deg,0.01157894736842104
p,FCNN,aspect_deg,-0.00842105263157895
p,FCNN,twi,0.0010526315789473662
p,FCNN,curvature,-0.0094736842105263
p,FCNN,northness,-0.006315789473684208
p,FCNN,eastness,-0.023157894736842106
p,FCNN,sg_phh2o_0-5cm,-0.04526315789473685
p,FCNN,sg_phh2o_5-15cm,-0.01894736842105263
p,FCNN,sg_soc_0-5cm,-0.00421052631578947
p,FCNN,sg_soc_5-15cm,-0.0231578947368421
p,FCNN,sg_nitrogen_0-5cm,0.006315789473684203
p,FCNN,sg_nitrogen_5-15cm,0.0021052631578947377
p,FCNN,sg_clay_0-5cm,-0.013684210526315788
p,FCNN,sg_clay_5-15cm,-0.01578947368421052
p,FCNN,sg_sand_0-5cm,0.01052631578947369
p,FCNN,sg_sand_5-15cm,-0.03473684210526317
